lineage,strain,sample,plate,doi
VNI,NC1,PMY3609,MCM 271 - A,20
VNI,NC1,PMY3610,MCM 271 - E,20
VNI,NC1,PMY3611,MCM 284 - F,201
VNI,NC1,PMY3612,MCM 528 - E,290
VNI,NC1,PMY3613,MCM 528 - F,290
VNI,NC1,PMY3414,MCM 094 - A,379
VNI,NC1,PMY3415,MCM 094 - B,379
VNI,NC1,PMY3416,MCM 095,418
VNI,NC1,PMY3614,MCM 095 - A,418
VNI,NC1,PMY3615,MCM 095 - B,418
VNI,NC1,PMY3417,MCM 096 - A,471
VNI,NC1,PMY3616,MCM 101 - B,543
VNI,NC1,PMY3617,MCM 101 - C,543
VNI,NC1,PMY3418,MCM 103 - A,583
VNI,NC1,PMY3419,MCM 103 - B,583
VNI,NC1,PMY3420,MCM 104 - A,605
VNI,NC1,PMY3421,MCM 104 - B,605
VNI,NC1,PMY3422,MCM 104 - C,605
VNI,NC1,PMY3424,MCM 107 - A,648
VNI,NC1,PMY3425,MCM 107 - B,648
VNI,NC1,PMY3426,MCM 107 - J,648
VNI,NC1,PMY3427,MCM 107 - K,648
VNI,NC1,PMY3618,MCM 297 - A,724
VNI,NC1,PMY3619,MCM 297 - C,724
VNI,NC1,PMY3620,MCM 297 - D,724
VNI,NC1,PMY3621,MCM 298 - A,774
VNI,NC1,PMY3622,MCM 298 - J,774
VNI,NC1,PMY3623,MCM 300 - A,854
VNI,NC1,PMY3624,MCM 300 - D,854
VNI,NC1,PMY3625,MCM 300 - K,854
VNI,NC1,PMY3626,MCM 300 - L,854
VNI,NC183,PMY3636,MCM 197 - G,0
VNI,NC183,PMY3637,MCM 197 - H,0
VNI,NC183,PMY3534,MCM 100 - B,445
VNI,NC183,PMY3535,MCM 100 - C,445
VNI,NC6,PMY3389,MCM 529 - A,3
VNI,NC6,PMY3390,MCM 529 - B,3
VNI,NC6,PMY3391,MCM 012,7620
VNI,NC83,PMY3629,MCM 530 - A,3631
VNI,NC83,PMY3630,MCM 530 - F,3631
VNII,NC83,PMY3627,MCM 299 - B,0
VNII,NC83,PMY3628,MCM 299 - J,0
VNI_VNIV,NC8,PMY3399,MCM 109 - A,0
VNI_VNIV,NC8,PMY3400,MCM 109 - B,0
VNI_VNIV,NC8,PMY3401,MCM 109 - C,0
VNI_VNIV,NC8,PMY3402,MCM 112,210
VNI_VNIV,NC8,PMY3403,MCM 113 - A,256
VNI_VNIV,NC8,PMY3404,MCM 113 - B,256
VNI_VNIV,NC8,PMY3405,MCM 113 - C,256
VNI_VNIV,NC8,PMY3406,MCM 119,319
VNI_VNIV,NC8,PMY3408,MCM 125 - B,392
VNI_VNIV,NC8,PMY3409,MCM 125 - C,392
VNBII_VNII,NC94,PMY3631,MCM 136 - A,0
VNBII_VNII,NC94,PMY3632,MCM 450 - A,735
VNBII_VNII,NC94,PMY3633,MCM 450 - N,735
VNBII_VNII,NC94,PMY3634,MCM 531 - A,735
VNBII_VNII,NC94,PMY3635,MCM 531 - C,735
